prop,source_lang,structure,ablation,mean_delta_lex,std_delta_lex
0.9000,nl,subj_pp+obj_pp,verb,0.0597,0.0258
0.9000,nl,subj_rc,object,0.1303,0.0238
0.9000,nl,subj_rc,subject,0.2422,0.0607
0.9000,nl,subj_rc,verb,0.0785,0.0072
0.9900,en,obj_pp,object,-0.1107,0.0020
0.9900,en,obj_pp,subject,-0.1748,0.0557
0.9900,en,obj_pp,verb,-0.0500,0.0100
0.9900,en,obj_rc,object,-0.0982,0.0006
0.9900,en,obj_rc,subject,-0.1287,0.0533
0.9900,en,obj_rc,verb,-0.0326,0.0026
0.9900,en,plain,object,-0.1631,0.0000
0.9900,en,plain,subject,-0.4140,0.0721
0.9900,en,plain,verb,-0.0744,0.0215
0.9900,en,subj_pp,object,-0.1099,0.0015
0.9900,en,subj_pp,subject,-0.1740,0.0517
0.9900,en,subj_pp,verb,-0.0421,0.0216
0.9900,en,subj_pp+obj_pp,object,-0.0817,0.0001
0.9900,en,subj_pp+obj_pp,subject,-0.0819,0.0000
0.9900,en,subj_pp+obj_pp,verb,-0.0172,0.0131
0.9900,en,subj_rc,object,-0.0857,0.0158
0.9900,en,subj_rc,subject,-0.1312,0.0577
0.9900,en,subj_rc,verb,-0.0261,0.0105
0.9900,nl,obj_pp,object,0.2836,0.1387
0.9900,nl,obj_pp,subject,0.4944,0.0336
0.9900,nl,obj_pp,verb,0.0436,0.0080
0.9900,nl,obj_rc,object,0.3862,0.0660
0.9900,nl,obj_rc,subject,0.5678,0.0958
0.9900,nl,obj_rc,verb,0.0362,0.0059
0.9900,nl,plain,object,0.2537,0.0292
0.9900,nl,plain,subject,0.7317,0.0405
0.9900,nl,plain,verb,0.1069,0.0048
0.9900,nl,subj_pp,object,0.2042,0.0690
0.9900,nl,subj_pp,subject,0.4066,0.1680
0.9900,nl,subj_pp,verb,0.0421,0.0139
0.9900,nl,subj_pp+obj_pp,object,0.3259,0.1320
0.9900,nl,subj_pp+obj_pp,subject,0.3396,0.0779
0.9900,nl,subj_pp+obj_pp,verb,0.0515,0.0055
0.9900,nl,subj_rc,object,0.1822,0.0340
0.9900,nl,subj_rc,subject,0.3361,0.1102
0.9900,nl,subj_rc,verb,0.0795,0.0215
1.0000,en,obj_pp,object,0.0004,0.0005
1.0000,en,obj_pp,subject,-0.0001,0.0002
1.0000,en,obj_pp,verb,0.0000,0.0000
1.0000,en,obj_rc,object,-0.0001,0.0001
1.0000,en,obj_rc,subject,-0.0003,0.0002
1.0000,en,obj_rc,verb,-0.0001,0.0002
1.0000,en,plain,object,-0.0001,0.0002
1.0000,en,plain,subject,-0.0002,0.0003
1.0000,en,plain,verb,0.0000,0.0000
1.0000,en,subj_pp,object,-0.0000,0.0005
1.0000,en,subj_pp,subject,-0.0000,0.0000
1.0000,en,subj_pp,verb,0.0000,0.0000
1.0000,en,subj_pp+obj_pp,object,0.0001,0.0004
1.0000,en,subj_pp+obj_pp,subject,-0.0002,0.0002
1.0000,en,subj_pp+obj_pp,verb,0.0000,0.0000
1.0000,en,subj_rc,object,-0.0005,0.0005
1.0000,en,subj_rc,subject,-0.0004,0.0004
1.0000,en,subj_rc,verb,0.0000,0.0000
1.0000,nl,obj_pp,object,0.0009,0.0016
1.0000,nl,obj_pp,subject,0.0017,0.0022
1.0000,nl,obj_pp,verb,0.0003,0.0004
1.0000,nl,obj_rc,object,0.0010,0.0008
1.0000,nl,obj_rc,subject,0.0021,0.0028
1.0000,nl,obj_rc,verb,0.0010,0.0015
1.0000,nl,plain,object,0.0003,0.0003
1.0000,nl,plain,subject,0.0005,0.0005
1.0000,nl,plain,verb,-0.0001,0.0001
1.0000,nl,subj_pp,object,0.0003,0.0003
1.0000,nl,subj_pp,subject,0.0011,0.0015
1.0000,nl,subj_pp,verb,0.0006,0.0008
1.0000,nl,subj_pp+obj_pp,object,-0.0006,0.0030
1.0000,nl,subj_pp+obj_pp,subject,0.0004,0.0008
1.0000,nl,subj_pp+obj_pp,verb,0.0005,0.0006
1.0000,nl,subj_rc,object,-0.0000,0.0001
1.0000,nl,subj_rc,subject,0.0018,0.0026
1.0000,nl,subj_rc,verb,-0.0000,0.0000
